,name,cusip,firstyr,gvkey,lastyr,pdpco,pdpseq,begyr,endyr,match
13888,READERS DIGEST ASSN,755267,1989,20783,2006,20783,1,1989,2006,1
13889,RECEPTECH CORP,756203,1990,20784,1991,20784,1,1990,1991,0
13890,AMERICOLD CORP,03060T,1986,20786,1996,20786,1,1986,1996,0
13891,IITC HOLDINGS LTD,449920,1989,20787,2000,20787,1,1989,2000,
13892,NUOASIS RESORTS INC,67057N,1990,20789,1997,20789,1,1990,1997,0
13893,IROQUOIS BRANDS LTD,463349,1989,20790,1989,20790,2,1989,1989,
13894,CAPITAL TRUST INC/MD,14052H,1989,20791,2006,20791,1,1989,2006,
13895,DIGITAL OPTRONICS CORP,253909,1989,20792,1989,20792,2,1989,1989,1
13896,EXPORT TYRE HOLDING CO,302159,1988,20793,1991,20793,1,1988,1991,
13897,TEE-COMM ELECTRONICS INC,87900H,1987,20797,1995,20797,1,1987,1995,
13898,TELEMEDIA INC  -CL A,87943F,1988,20799,1996,20799,1,1988,1996,
13899,TELEPANEL SYSTEMS INC,87943U,1987,20800,2001,20800,1,1987,2001,
13900,VITRAN CORP INC,92850E,1993,20847,2006,20847,1,1993,2006,0
13901,GLOBAL VENTURE CORP,37936H,1986,20885,1992,20885,1,1986,1992,
13902,LIBERTY NATL BK HUNTINGTN CA,531041,1993,20887,1994,20887,1,1993,1994,0
13903,PEOPLES FIRST CORP,711050,1993,20888,1997,20888,1,1993,1997,
13904,VIRTUALFUND.COM INC,92825A,1990,20889,2002,20889,1,1990,2002,0
13905,COLLECTORS GUILD INTL,193900,1980,20892,1988,20892,1,1980,1988,
13906,JPS INDUSTRIES INC,46624E,1989,20893,2003,20893,1,1989,2003,1
13907,CLUB CAR INC,18947B,1989,20894,1994,20894,1,1989,1994,1
13908,SPECIALTY RETAILERS,847514,1989,20895,1995,20895,1,1989,1995,
13909,ARMSTRONG PHARMACEUTICALS,42449,1987,20899,1992,20899,1,1987,1992,
13910,AEROVOX INC,00808M,1989,20900,2000,20900,2,1989,2000,1
13911,BOSTON RESTAURANT ASSOC INC,101122,1990,20901,2005,20901,1,1990,2005,
13912,COMPARATOR SYSTEMS CP,204494,1987,20902,1997,20902,1,1987,1997,0
13913,PULSEPOINT COMMUNICATIONS CP,745913,1989,20903,1998,20903,1,1989,1998,1
13914,HOLOGIC INC,436440,1989,20904,2006,20904,1,1989,2006,1
13915,MODATECH SYSTEMS INC,60750D,1988,20906,1994,20906,1,1988,1994,0
13916,NORTH AMERICAN VACCINE INC,657201,1989,20907,1999,20907,1,1989,1999,1
13917,SECTOR ASSOCIATES LTD,813904,1989,20908,1993,20908,1,1989,1993,
13918,TEPPCO PARTNERS  -LP,872384,1989,20909,2006,20909,1,1989,2006,0
13919,ARCUS INC,03968E,1989,20911,1994,20911,1,1989,1994,
13920,ALCO STANDARD CORP-PRE FASB,01399Z,1969,20952,1995,20952,1,1969,1995,1
13921,DEERE & CO-PRE FASB,24499Z,1969,20953,2006,3835,-1,,,1
13922,NAVISTAR INTL-PRE FASB,63999Z,1969,20954,2004,20954,1,1969,2004,
13923,REYNOLDS & REYNOLDS-PRE FASB,76199Z,1969,20955,2005,9112,-1,,,1
13924,TEXAS MICRO INC,88255T,1989,20969,1999,20969,1,1989,1999,1
13925,PBL ACQUISITION CORP,693164,1989,20975,1990,20975,1,1989,1990,
13926,LASER RECORDING SYSTEMS INC,517916,1988,20976,1992,20976,1,1988,1992,
13927,CII FINANCIAL INC,12551L,1989,20977,1994,20977,1,1989,1994,
13928,HOLNAM INC,436429,1989,20981,1992,20981,1,1989,1992,1
13929,INTEGRATED SYSTEMS INC,45812M,1988,20982,1998,20982,1,1988,1998,1
13930,INDEVUS PHARMACEUTICALS INC,454072,1989,20983,2006,20983,1,1989,2006,1
13931,UNIVERSAL EXPRESS INC,91349P,2001,20984,2006,20984,1,2001,2006,
13932,GOLF ENTERTAINMENT INC,38163Q,1989,20988,2001,20988,1,1989,2001,
13933,INFORMEDICS INC,45677P,1988,20991,1997,20991,1,1988,1997,0
13934,FLEET AEROSPACE INC,338893,1989,20992,1995,20992,1,1989,1995,
13935,VARCO INTERNATIONAL INC,922122,1989,20993,2004,20993,1,1989,2004,1
13936,RELIANCE INSURANCE CO,759472,1994,21009,1994,21009,1,1994,1994,
13937,BANKERS CORP,66120,1993,21060,1996,21060,1,1993,1996,
13938,DELPHI FINANCIAL GRP  -CL A,247131,1989,21061,2006,21061,1,1989,2006,
13939,DEVLIEG-BULLARD INC,251782,1989,21062,1998,21062,1,1989,1998,1
13940,U S TRANSPORTATION SYS,912787,1985,21063,1996,21063,1,1985,1996,
13941,MEDICAL NUTRITION USA INC,58461X,1990,21066,2006,21066,1,1990,2006,
13942,MOVIE SUPERSTORE INC,624592,1989,21068,1990,21068,1,1989,1990,
13943,VERIFONE INC,923429,1989,21078,1996,162733,1,1989,1996,
13944,VIKING OFFICE PRODUCTS INC,926913,1989,21081,1998,21081,1,1989,1998,
13945,MOMENTUM CORP,608780,1989,21092,1993,21092,1,1989,1993,
13946,FORSTMANN TEXTILES INC,34659P,1988,21105,1988,13405,-1,,,0
13947,COLONIAL DATA TECHNOLOGIES,195642,1989,21106,1995,21106,1,1989,1995,
13948,PINNACLE BANC GROUP INC,723449,1993,21107,1998,21107,1,1993,1998,
13949,REGAL COMMUNICATIONS CORP,758756,1985,21110,1992,21110,1,1985,1992,
13950,ADM TRONICS UNLIMITED INC/DE,1004,1989,21116,2005,21116,1,1989,2005,1
13951,ACCELR8 TECHNOLOGY CORP,4304,1996,21118,2006,21118,1,1996,2006,1
13952,AGRIPOST INC,8543,1985,21123,1991,21123,1,1985,1991,0
13953,AMERICAN CONFECTIONERY CORP,25224,1990,21130,1990,21130,1,1990,1990,
13954,ISOLAGEN INC,46488N,2000,21132,2006,21132,1,2000,2006,1
13955,AMERICAN BIO MEDICA CORP,24600,1995,21136,2006,21136,1,1995,2006,1
13956,AMERICAN TECHNOLOGIES GROUP,30143,1996,21139,2006,21139,1,1996,2006,
13957,APPLIED INNOVATION INC,37916,1992,21144,2006,21144,1,1992,2006,1
13958,BAY AREA BANCSHARES,72015,1993,21147,1998,21147,1,1993,1998,
13959,INTRAWEST CORP,460915,1989,21149,2006,21149,1,1989,2006,
13960,TRANSBOTICS CORP,893524,1989,21151,2006,21151,1,1989,2006,0
13961,SIXX HOLDINGS INC,830135,1990,21153,2005,21153,1,1990,2005,
13962,SPTC HOLDING INC,784628,1989,21154,1992,21154,1,1989,1992,
